小时,温度,风向,风级,降水量,相对湿度,空气质量
16,22.2,西风,3,0,18,
15,22.3,西北风,2,0,18,22
14,22.4,西北风,2,0,17,22
13,22.5,西北风,2,0,23,22
12,22.0,北风,2,0,26,21
11,21.3,北风,2,0,32,20
10,19.9,北风,2,0,39,19
09,18.1,北风,1,0,48,19
08,17.4,西北风,2,0,53,23
07,16.0,北风,2,0,56,26
06,15.7,北风,1,0,61,34
05,16.3,西北风,2,0,63,43
04,15.5,西北风,2,0,82,54
03,14.9,西风,1,0.2,95,60
02,15.5,北风,1,0.2,88,64
01,15.5,北风,1,0.6,92,66
00,15.9,北风,1,0.2,89,69
23,16.3,西风,1,0,85,72
22,16.3,南风,1,0,82,73
21,16.2,西风,1,0,77,73
20,16.2,西风,1,0,76,73
19,16.6,西风,1,0,73,70
18,17.7,西风,0,0,65,68
17,20.0,东风,1,0,53,67
16,21.4,南风,2,0,43,66
